Pond1,meanres,sdres,n
NAT-1,0.0646630383292473,0.0232560790155776,150
NAT-10,0.0847775872429018,0.0240027707893107,352
NAT-11,0.063660246762625,0.0227899214901418,354
NAT-2,0.0836045776895565,0.023111935272781,339
NAT-3,0.0994999190889552,0.0525113077896768,196
NAT-6,0.0730751895102088,0.0250558604706061,293
NAT-7,0.081792186843049,0.0237531975530112,336
NAT-9,0.0834174180737625,0.024017592746518,349
SWF-1127,0.0121654593407517,0.00609225061076029,7
SWF-1133,0.00909876679010719,0.00324095407680929,5
SWF-1134,0.0174656800733881,0.010922541175202,15
SWF-1204,0.0237096051185658,0.012489071453341,26
SWF-1205,0.0224854764228009,0.0148899460130877,16
SWF-1206,0.0114229864890109,0.00625680135025976,8
SWF-1207,0.0200077684130152,0.0198859286112294,26
SWF-1208,0.0258475093188339,0.0207054765358689,23
SWF-1209,0.0266817651213685,0.0180027144861095,36
SWF-1215,0.0169656779301923,0.01179909760155,41
SWF-1220,0.0387424545055522,0.0142290592002999,71
SWF-1221,0.0413184111938131,0.0197084597502429,135
SWF-1227,0.0136078420304237,0.0112806248469687,29
SWF-1228,0.0352088659390335,0.0206151070018326,99
SWF-1234,0.0569652608497904,0.0803518039950262,27
SWF-1235,0.0591126293581547,0.0783762758159411,28
SWF-1236,0.0201430241651439,0.0193379904900904,34
SWF-1253,0.0353631890016738,0.0388808433397265,35
SWF-1306,0.0156162446858817,0.0203028529566819,24
SWF-1310,0.0309011217503002,0.0355915516186174,112
SWF-1311,0.0343526420944536,0.0335536482607454,102
SWF-1312,0.0439158413644034,0.0577439037439823,125
SWF-1314,0.0137709824188369,0.0154962767789702,29
SWF-1316,0.0315085775009975,0.0213743502437187,36
SWF-1320,0.0225986836870753,0.0283414058258848,43
SWF-1325,0.0170571120923495,0.0208648664046717,36
SWF-1347,0.0128275164412213,0.0171264160206498,34
SWF-1352,0.0199549284209443,0.0283832741802545,12
SWF-1428,0.0116086489547068,0.00519196523044793,10
SWF-1439,0.0461266682500962,0.0190468891605216,46
SWF-1444,0.0103511949852258,0.00371158463029246,13
SWF-1501,0.0130982546564391,0.00630136983529231,5
SWF-1610,0.0341220459956644,0.0376716036829008,57
SWF-1616,0.0120530149973886,0.00336822840400716,8
SWF-1621,0.0703014101360503,0.0566517434264593,146
SWF-1622,0.00809735191032647,0.00251878861869342,5
SWF-1802,0.0323166925404376,0.0430560693779871,106
SWF-1808,0.0274375248382935,0.0211659893956144,147
SWF-1809,0.026827618550496,0.0203325882268568,148
SWF-1914,0.00772330500452802,0.00176596547057456,50
TIM-2,0.035911155406786,0.0439239747609188,117
