Pond,CALMAC,LESCON,LESDIS,LESDRY,LESEUR,LESFOR,LESREC,LESUNI,ARGFUM,CHRCON,COERES,ENAANN,ENAANT,ENAASP,ENABOR,ENACIV,ENAEBR,ENAHAG,ISCVER,NAHIRE,abundance,speciescount,shannon,simpson,meanres,sdres,n
SWF-1127,0,0,4,0,0,0,8,0,0,0,0,14,0,0,0,0,13,1,170,49,259,7,1.09251615843507,0.526736333686141,0.0121654593407517,0.00609225061076029,7
SWF-1133,0,0,1,0,0,0,5,0,0,0,4,0,0,0,3,0,13,3,20,42,91,8,1.53915454141092,0.711025238497766,0.00909876679010719,0.00324095407680929,5
SWF-1134,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.693147180559945,0.5,0.0174656800733881,0.010922541175202,15
SWF-1204,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,69,4,142,99,323,5,1.2076280049551,0.666219363743542,0.0237096051185658,0.012489071453341,26
SWF-1205,0,4,12,0,0,0,1,1,0,0,0,0,0,0,0,0,35,2,19,41,115,8,1.53285970145696,0.740415879017013,0.0224854764228009,0.0148899460130877,16
SWF-1206,0,12,3,0,0,0,2,0,0,0,0,8,0,0,1,3,23,0,76,49,177,9,1.52426455935589,0.714737144498707,0.0114229864890109,0.00625680135025976,8
SWF-1207,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,141,6,156,5,0.442464917311756,0.180391190006575,0.0200077684130152,0.0198859286112294,26
SWF-1208,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,92,52,203,4,1.12510374257913,0.652672959790337,0.0258475093188339,0.0207054765358689,23
SWF-1209,0,2,13,17,0,0,0,0,0,0,0,0,0,0,0,0,114,0,114,274,534,6,1.22281978981909,0.643949276887037,0.0266817651213685,0.0180027144861095,36
SWF-1215,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,63,61,144,4,1.06920642125965,0.616030092592593,0.0169656779301923,0.01179909760155,41
SWF-1220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,15,54,4,1.16376015527272,0.674211248285323,0.0387424545055522,0.0142290592002999,71
SWF-1221,0,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,89,181,307,6,1.06170732323287,0.562785812051056,0.0413184111938131,0.0197084597502429,135
SWF-1227,0,11,1,0,1,0,2,0,0,0,0,11,0,0,0,32,3,0,87,1,149,9,1.26654105466205,0.601324264672762,0.0136078420304237,0.0112806248469687,29
SWF-1228,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,37,0,48,6,99,6,1.17602960494769,0.619120497908377,0.0352088659390335,0.0206151070018326,99
SWF-1234,0,0,1,0,0,0,0,0,0,0,0,0,2,0,13,256,88,6,340,1,707,8,1.12836621289543,0.621703754533869,0.0569652608497904,0.0803518039950262,27
SWF-1235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,103,3,40,122,274,7,1.16107027529263,0.638766050402259,0.0591126293581547,0.0783762758159411,28
SWF-1236,0,50,8,0,0,0,0,3,0,0,0,1,0,0,3,3,18,0,180,83,349,9,1.34032439082035,0.653492171657047,0.0201430241651439,0.0193379904900904,34
SWF-1253,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,6,4,0,99,4,119,8,0.749456555381348,0.302379775439587,0.0353631890016738,0.0388808433397265,35
SWF-1306,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,123,1,0,137,0,267,7,0.835530863375904,0.52434456928839,0.0156162446858817,0.0203028529566819,24
SWF-1310,0,0,4,0,0,0,0,0,12,0,0,0,0,0,12,30,51,6,117,156,388,8,1.51913830334536,0.72190190243384,0.0309011217503002,0.0355915516186174,112
TIM-2,0,0,2,0,2,0,0,0,29,2,0,8,0,0,25,8,116,8,148,31,379,11,1.63767753278835,0.735514233401327,0.035911155406786,0.0439239747609188,117
SWF-1311,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,3,11,4,72,8,105,8,1.1647695982921,0.509024943310658,0.0343526420944536,0.0335536482607454,102
SWF-1312,1,5,10,0,0,0,1,0,0,0,5,0,0,0,1,0,22,5,24,79,153,10,1.52305213143439,0.680507497116494,0.0439158413644034,0.0577439037439823,125
SWF-1314,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,38,3,139,4,197,7,0.921081834900249,0.461130150222886,0.0137709824188369,0.0154962767789702,29
SWF-1316,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,15,1,58,24,102,7,1.15648228467941,0.599000384467512,0.0315085775009975,0.0213743502437187,36
SWF-1320,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,57,28,152,5,1.17966925998184,0.658500692520776,0.0225986836870753,0.0283414058258848,43
SWF-1325,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,4,3,0,64,2,82,6,0.853018132494377,0.378643664485425,0.0170571120923495,0.0208648664046717,36
SWF-1347,0,0,5,0,0,0,0,1,0,0,0,3,0,0,1,0,44,6,60,50,170,8,1.4307410773992,0.719446366782007,0.0128275164412213,0.0171264160206498,34
SWF-1352,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,79,6,3,450,28,581,7,0.79709046559787,0.378710810786791,0.0199549284209443,0.0283832741802545,12
SWF-1428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2,1,182,20,216,6,0.600019112266957,0.279192386831276,0.0116086489547068,0.00519196523044793,10
SWF-1439,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,9,0,31,3,1.01827760554222,0.611862643080125,0.0461266682500962,0.0190468891605216,46
SWF-1444,0,0,2,0,0,0,1,2,0,0,1,0,0,0,1,10,28,14,49,2,110,10,1.53563984288114,0.711074380165289,0.0103511949852258,0.00371158463029246,13
SWF-1501,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,17,37,61,137,6,1.32548062800007,0.691992114657148,0.0130982546564391,0.00630136983529231,5
SWF-1610,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,9,6,26,6,1.56125249886593,0.763313609467456,0.0341220459956644,0.0376716036829008,57
SWF-1616,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,10,1,61,3,82,7,0.943103816579909,0.427126710291493,0.0120530149973886,0.00336822840400716,8
SWF-1621,0,2,0,0,0,0,1,0,0,0,3,2,0,0,0,0,4,5,7,9,33,8,1.88871408163899,0.826446280991736,0.0703014101360503,0.0566517434264593,146
SWF-1622,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,1,23,23,55,8,1.28409843291937,0.643305785123967,0.00809735191032647,0.00251878861869342,5
SWF-1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,243,1,33,93,431,5,1.14152864964442,0.609665107315314,0.0323166925404376,0.0430560693779871,106
SWF-1808,0,0,1,0,0,0,0,0,0,5,5,2,0,0,1,0,3,21,8,42,88,9,1.54177842987597,0.698605371900826,0.0274375248382935,0.0211659893956144,147
SWF-1809,0,0,4,0,0,0,0,0,0,3,16,0,0,0,0,0,5,31,20,110,189,7,1.30169033529363,0.614596455866297,0.026827618550496,0.0203325882268568,148
SWF-1914,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,79,4,100,5,0.714523638337014,0.3542,0.00772330500452802,0.00176596547057456,50
NAT-1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,0.485094091302212,0.24,0.0646630383292473,0.0232560790155776,150
NAT-2,0,0,34,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,1,559,612,5,0.376236776068741,0.162133153915161,0.0836045776895565,0.023111935272781,339
NAT-3,0,90,72,60,0,0,0,80,0,0,0,0,0,0,0,0,0,4,0,31,337,6,1.60309653216353,0.786376564027155,0.0994999190889552,0.0525113077896768,196
NAT-6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,21,0,38,32,2,4,99,7,1.36281413339737,0.700948882767065,0.0730751895102088,0.0250558604706061,293
NAT-7,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,24,0,4,53,96,5,1.15836301647604,0.612196180555556,0.081792186843049,0.0237531975530112,336
NAT-9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,55,73,4,0.727134557249223,0.394070182022894,0.0834174180737625,0.024017592746518,349
NAT-10,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,6,75,130,5,0.950935879407426,0.544615384615385,0.0847775872429018,0.0240027707893107,352
NAT-11,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,74,0,1,77,155,5,0.821746866977556,0.525036420395422,0.063660246762625,0.0227899214901418,354
